index,Date,Open,High,Low,Close,Adj Close,Volume,Stock
0,2019-01-01,520.0,524.0,518.650024,523.049988,518.685181,1361809.0,CIPLA
1,2019-01-02,521.900024,522.5,513.150024,514.549988,510.256104,1243067.0,CIPLA
2,2019-01-03,516.5,520.5,511.200012,512.400024,508.124054,2086150.0,CIPLA
3,2019-01-04,513.0,514.900024,508.049988,512.799988,508.520691,1651456.0,CIPLA
4,2019-01-07,516.0,517.75,510.299988,514.049988,509.76025400000003,1168002.0,CIPLA
5,2019-01-08,516.0,517.200012,511.25,513.650024,509.36364699999996,1765015.0,CIPLA
6,2019-01-09,515.549988,516.75,507.5,510.10000599999995,505.84323099999995,1929305.0,CIPLA
7,2019-01-10,509.0,514.900024,509.0,513.25,508.966949,1252439.0,CIPLA
8,2019-01-11,513.400024,519.0,508.25,510.200012,505.942413,2051418.0,CIPLA
9,2019-01-14,510.200012,514.0,505.60000599999995,511.950012,507.677795,1472415.0,CIPLA
10,2019-01-15,514.5,515.349976,509.5,514.950012,510.65280199999995,1177377.0,CIPLA
11,2019-01-16,515.0,515.950012,509.0,511.5,507.231537,1446921.0,CIPLA
12,2019-01-17,512.5,514.950012,507.60000599999995,509.60000599999995,505.347412,1598184.0,CIPLA
13,2019-01-18,510.200012,513.0,507.299988,509.39999400000005,505.14907800000003,1502360.0,CIPLA
14,2019-01-21,510.0,514.200012,508.200012,509.25,505.00030499999997,1150380.0,CIPLA
15,2019-01-22,510.0,511.39999400000005,502.450012,507.10000599999995,502.868286,1455953.0,CIPLA
16,2019-01-23,510.0,511.700012,507.10000599999995,509.299988,505.049896,1358623.0,CIPLA
17,2019-01-24,510.0,510.700012,496.10000599999995,500.700012,496.521667,1620195.0,CIPLA
18,2019-01-25,502.10000599999995,508.60000599999995,501.35000599999995,507.64999400000005,503.41366600000003,1193442.0,CIPLA
19,2019-01-28,509.0,509.0,489.10000599999995,492.14999400000005,488.04303,3215535.0,CIPLA
20,2019-01-29,489.10000599999995,507.549988,483.75,505.049988,500.835358,2675481.0,CIPLA
21,2019-01-30,504.950012,507.10000599999995,497.700012,505.799988,501.579102,1524621.0,CIPLA
22,2019-01-31,506.0,519.849976,504.25,517.299988,512.983154,2203919.0,CIPLA
23,2019-02-01,517.650024,522.549988,512.5,521.349976,516.999329,1380838.0,CIPLA
24,2019-02-04,521.0,521.0,506.200012,509.60000599999995,505.347412,1480952.0,CIPLA
25,2019-02-05,506.549988,514.0,501.200012,508.0,503.76077300000003,4358002.0,CIPLA
26,2019-02-06,510.5,546.700012,504.10000599999995,534.950012,530.485901,8775759.0,CIPLA
27,2019-02-07,537.099976,546.599976,528.150024,532.900024,528.4530030000001,4417618.0,CIPLA
